Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [EMPATE],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [EMPATE],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [POSITIVO],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [EMPATE],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [EMPATE],Chaco [AUSENTE],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [NEGATIVO],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [EMPATE],La Pampa [POSITIVO],La Rioja [EMPATE],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [POSITIVO],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [EMPATE],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [EMPATE],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [EMPATE],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [POSITIVO],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [EMPATE],Chaco [AUSENTE],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [EMPATE],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [NEGATIVO],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [POSITIVO],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [EMPATE],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [EMPATE],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [NEGATIVO],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [POSITIVO],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [NEGATIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [EMPATE],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [EMPATE],Entre Rios [NEGATIVO],Formosa [EMPATE],Jujuy [NEGATIVO],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [POSITIVO],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [EMPATE],Tierra del Fuego [POSITIVO],Tucuman [EMPATE]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [EMPATE],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [NEGATIVO],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [EMPATE],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [POSITIVO],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [AUSENTE],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [NEGATIVO],C.A.B.A. [POSITIVO],Catamarca [NEGATIVO],Chaco [NEGATIVO],Chubut [NEGATIVO],Cordoba [POSITIVO],Corrientes [POSITIVO],Entre Rios [POSITIVO],Formosa [NEGATIVO],Jujuy [EMPATE],La Pampa [NEGATIVO],La Rioja [POSITIVO],Mendoza [POSITIVO],Misiones[NEGATIVO],Neuquen [NEGATIVO],Rio Negro [NEGATIVO],Salta [NEGATIVO],San Juan [NEGATIVO],San Luis [NEGATIVO],Santa Cruz [POSITIVO],Santa Fe [NEGATIVO],Santiago del Estero [EMPATE],Tierra del Fuego [NEGATIVO],Tucuman [NEGATIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [POSITIVO],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [NEGATIVO],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [EMPATE],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [NEGATIVO],Rio Negro [POSITIVO],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [NEGATIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
Buenos Aires [POSITIVO],C.A.B.A. [NEGATIVO],Catamarca [EMPATE],Chaco [POSITIVO],Chubut [POSITIVO],Cordoba [NEGATIVO],Corrientes [NEGATIVO],Entre Rios [NEGATIVO],Formosa [POSITIVO],Jujuy [EMPATE],La Pampa [POSITIVO],La Rioja [NEGATIVO],Mendoza [NEGATIVO],Misiones[POSITIVO],Neuquen [POSITIVO],Rio Negro [POSITIVO],Salta [POSITIVO],San Juan [POSITIVO],San Luis [POSITIVO],Santa Cruz [NEGATIVO],Santa Fe [POSITIVO],Santiago del Estero [POSITIVO],Tierra del Fuego [POSITIVO],Tucuman [POSITIVO]
